section,subject_name,category_cn,category_en,default_authoring_root,runtime_owner_or_entry,room_direct_consume,component_autonomous,state_channel_or_save,validator_covered,sample_scene_instances,sample_scene_live_status,authoring_maturity,final_conclusion,evidence_notes
"element","DestroyableObject","状态件","Stateful","Elements","DestroyableObject + RoomFlagRegistry","是","是","RoomFlagRegistry + SaveBridge","是","0","当前场景未铺开","代码已支持但场景未铺开","它已经具备完整状态通道，但 `SampleScene` 里当前没有实例","销毁状态会写入 `RoomFlagRegistry`，并通过 `SaveBridge` 持久化"
"element","OpenEncounterTrigger","战斗件","Combat","Encounters","OpenEncounterTrigger + EnemySpawner","是","是","无统一 SaveBridge 主链","是","0","当前场景未铺开","代码已支持但场景未铺开","它已进入 `Room` 主链，但当前 `SampleScene` 尚未真正 authoring 使用","`Room` 会主动收集 `OpenEncounterTrigger`，但当前场景实例数为 0"
"element","ArenaController","战斗件","Combat","Encounters / room","ArenaController + RoomManager","部分","是","战斗房间过程状态由遭遇链处理","是","1","场景内已有实例","现役成熟","当前闭门遭遇 / arena / boss 编排已经能在场景里直接落地","现役遭遇系统并不是单独的 `EncounterSystem` 类，而是由 `Room + RoomManager + ArenaController + EnemySpawner + EncounterSO` 等共同承担"
"element","EnemySpawner","战斗件","Combat","Encounters","Room / ArenaController / OpenEncounterTrigger / EnemySpawner","是","是","无统一 SaveBridge 主链","是","2","场景内已有实例","现役成熟","它是当前战斗房间链条里最明确的实装刷怪入口之一","`Room` 会主动收集 `EnemySpawner`，Arena 场景也已实际使用"
"element","EnvironmentHazard","环境机关件","Environment","Hazards","EnvironmentHazard 及其子类","否","是","通常无统一 SaveBridge 主链","是","1","场景内已有实例","现役成熟","环境机关体系已经可以直接 authoring，但场景铺设规模还不大","当前代表实现包括 `DamageZone`、`ContactHazard`、`TimedHazard`"
"element","BiomeTrigger","导演件","Directing","Triggers","BiomeTrigger + AmbienceController","否","是","环境 / 音频 / 后处理切换链","是","0","当前场景未铺开","代码已支持但场景未铺开","它属于导演层元素，系统已支持，但 `SampleScene` 中还没有实际实例","`LevelValidator` 已纳入官方挂点校验"
"element","HiddenAreaMask","导演件","Directing","Triggers","HiddenAreaMask","否","是","隐藏区可见性控制链","是","0","当前场景未铺开","代码已支持但场景未铺开","系统已具备能力，但现役场景尚未使用","`LevelValidator` 已纳入官方挂点校验"
"element","ScheduledBehaviour","导演件","Directing","Triggers","ScheduledBehaviour + WorldPhaseManager","否","是","WorldClock / WorldPhaseManager 驱动","是","0","当前场景未铺开","代码已支持但场景未铺开","它是 Phase 驱动的动态世界元素，但 `SampleScene` 里当前没有实例","`LevelValidator` 已纳入挂点与空配置校验"
"element","ActivationGroup","导演件","Directing","Triggers / ActivationGroups","ActivationGroup + RoomManager.OnCurrentRoomChanged","否","是","跟随房间切换进行激活/停用，无统一 SaveBridge 主链","是","0","当前场景未铺开","代码已支持但场景未铺开","它属于导演/组织层组件，工具链已有护栏，但内容层尚未铺开","`LevelValidator` 已补上成员为空、越房间引用、挂错根节点等检查"
"element","WorldEventTrigger","导演件","Directing","Triggers","WorldEventTrigger + WorldProgressManager","否","是","世界进度 / 自持久化","是","0","当前场景未铺开","代码已支持但场景未铺开","它是更偏世界进度编排的元素，当前代码已接通，但现役场景无实例","总结中已确认它会自持久化"
"element","CameraTrigger","导演件","Directing","Triggers","CameraTrigger + CameraDirector","否","是","镜头导演链，无统一 SaveBridge 主链","否","0","当前场景未铺开","代码已支持但场景未铺开","镜头 trigger 代码存在，但当前 `SampleScene` 还没有真正 authoring 使用这条链","此前 camera 调研已确认 `CameraTrigger` 当前场景实例为 0"
"element","NarrativeFallTrigger","叙事特例","Narrative","Triggers 或 custom","NarrativeFallTrigger","否","部分","无现役完整状态通道","否","0","当前场景未使用","占位 / 半实现","当前只应视为 placeholder，不应算现役可交付房间元素","文件注释和行为都显示它还不是完整 cinematic 元素"
"editor_schema","LevelScaffoldData.rooms[].elements[]","编辑期 schema","EditorSchema","JSON / Scaffold","无运行时 owner","否","否","无","不适用","不适用","不会自动生成场景对象","非运行时 authority","不能把它视为当前 Unity 实际可消费并实装的房间元素","`LevelSliceBuilder` 只会创建空的 `Elements` 根，不会消费这批元素数据"
"editor_schema","ScaffoldElementType","编辑期 schema","EditorSchema","LevelScaffoldData","无运行时 owner","否","否","无","不适用","不适用","仅作为编辑期模型存在","非运行时 authority","它更像设计快照与工具侧枚举，不是现役 Scene authoring 主链","当前 Unity 导入主链不依据它自动生成场景对象"
